mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
8.30272665,0.234538948,0.037141275,0.027848891,0.306188593,0.01,2,4285,1.00E-09,13.3582836,1,"OrderedDict([('colsample_bytree', 0.30618859348275645), ('learning_rate', 0.01), ('max_depth', 2), ('n_estimators', 4285), ('reg_alpha', 1e-09), ('reg_lambda', 13.35828359870279), ('subsample', 1.0)])",0.922749392,0.976905921,0.938079226,0.944148282,0.910268129,0.93843019,0.022592878,21
7.463031006,0.06382943,0.0160007,0.003848014,0.313630705,0.567650455,4,2636,1.00E-09,11.11619102,0.638109776,"OrderedDict([('colsample_bytree', 0.3136307054234979), ('learning_rate', 0.5676504554759068), ('max_depth', 4), ('n_estimators', 2636), ('reg_alpha', 1e-09), ('reg_lambda', 11.11619102356873), ('subsample', 0.6381097764411997)])",0.929785077,0.969160584,0.945624539,0.94867957,0.918423725,0.942334699,0.01732014,6
4.299480581,0.307776252,0.00680027,0.000747398,0.373944641,0.400089246,2,3129,5.976261582,18.22989072,1,"OrderedDict([('colsample_bytree', 0.3739446409783922), ('learning_rate', 0.4000892457711687), ('max_depth', 2), ('n_estimators', 3129), ('reg_alpha', 5.976261581886333), ('reg_lambda', 18.229890716811923), ('subsample', 1.0)])",0.921847121,0.976094891,0.93637743,0.942333716,0.908236847,0.936978001,0.022865576,27
14.52396684,0.67276274,0.032001877,0.006293496,0.60925723,1,7,3899,1.00E-09,72.3872376,1,"OrderedDict([('colsample_bytree', 0.6092572295714237), ('learning_rate', 1.0), ('max_depth', 7), ('n_estimators', 3899), ('reg_alpha', 1e-09), ('reg_lambda', 72.3872375978158), ('subsample', 1.0)])",0.930981346,0.969383617,0.943123103,0.946075617,0.913386147,0.940589966,0.018428005,11
9.079055595,0.340257334,0.016400051,0.001625207,0.305153178,0.01,7,3747,1.00E-09,94.14281632,0.1,"OrderedDict([('colsample_bytree', 0.30515317763163186), ('learning_rate', 0.01), ('max_depth', 7), ('n_estimators', 3747), ('reg_alpha', 1e-09), ('reg_lambda', 94.14281631596734), ('subsample', 0.1)])",0.90324412,0.959955393,0.914787173,0.928319528,0.891468617,0.919554966,0.023607756,38
10.27503557,0.464650874,0.022998953,0.01002001,0.309965939,1,9,5000,1.00E-09,100,0.1,"OrderedDict([('colsample_bytree', 0.30996593949180984), ('learning_rate', 1.0), ('max_depth', 9), ('n_estimators', 5000), ('reg_alpha', 1e-09), ('reg_lambda', 100.0), ('subsample', 0.1)])",0.935705596,0.969849959,0.937484622,0.942097925,0.914036157,0.939834852,0.017855952,15
13.8715776,0.780149496,0.03899951,0.009186525,0.377057924,1,7,4508,1.00E-09,77.73568489,0.566328141,"OrderedDict([('colsample_bytree', 0.37705792409272076), ('learning_rate', 1.0), ('max_depth', 7), ('n_estimators', 4508), ('reg_alpha', 1e-09), ('reg_lambda', 77.7356848919695), ('subsample', 0.5663281414215304)])",0.934347121,0.97027575,0.945091446,0.947695399,0.918342474,0.943150438,0.017047816,4
7.450082445,0.446901463,0.012800074,0.005073365,0.768587506,1,3,4392,25.29418591,32.11208493,0.202118862,"OrderedDict([('colsample_bytree', 0.7685875058080781), ('learning_rate', 1.0), ('max_depth', 3), ('n_estimators', 4392), ('reg_alpha', 25.294185905117498), ('reg_lambda', 32.11208493496645), ('subsample', 0.2021188618925214)])",0.901216545,0.941139497,0.912316493,0.92155335,0.8804286,0.911330897,0.020254751,43
4.813879871,0.256837935,0.009400415,0.002870163,0.727328636,1,2,2679,21.70469459,99.04349048,0.581444809,"OrderedDict([('colsample_bytree', 0.7273286355398214), ('learning_rate', 1.0), ('max_depth', 2), ('n_estimators', 2679), ('reg_alpha', 21.704694592467902), ('reg_lambda', 99.04349048123882), ('subsample', 0.5814448087847084)])",0.917183698,0.963493512,0.919728533,0.932020422,0.895988219,0.925682877,0.022177789,36
12.88019614,1.097567179,0.025999689,0.006811555,0.831460206,0.01,9,1910,1.00E-09,21.58879092,1,"OrderedDict([('colsample_bytree', 0.8314602057912793), ('learning_rate', 0.01), ('max_depth', 9), ('n_estimators', 1910), ('reg_alpha', 1e-09), ('reg_lambda', 21.588790923151546), ('subsample', 1.0)])",0.92757502,0.977473642,0.935331748,0.938017715,0.909607963,0.937601217,0.022267829,25
12.96359472,0.355592328,0.023000288,0.009444396,0.887612199,0.01,2,4704,1.00E-09,94.46424943,1,"OrderedDict([('colsample_bytree', 0.8876121985332525), ('learning_rate', 0.01), ('max_depth', 2), ('n_estimators', 4704), ('reg_alpha', 1e-09), ('reg_lambda', 94.464249426674), ('subsample', 1.0)])",0.928639497,0.974239659,0.940447388,0.939914295,0.909953281,0.938638824,0.02095311,20
9.625845623,1.596917396,0.01300025,0.001674367,0.447516755,0.607893082,2,4687,4.29544861,46.89683975,0.662191887,"OrderedDict([('colsample_bytree', 0.44751675456953643), ('learning_rate', 0.6078930822884051), ('max_depth', 2), ('n_estimators', 4687), ('reg_alpha', 4.295448610052965), ('reg_lambda', 46.89683975103815), ('subsample', 0.6621918869591698)])",0.939193025,0.973175182,0.9436767,0.952882802,0.916981515,0.945181845,0.018310225,2
1.586374426,0.023481383,0.012000418,0.005691595,0.1,0.01,2,983,100,33.61172473,0.1,"OrderedDict([('colsample_bytree', 0.1), ('learning_rate', 0.01), ('max_depth', 2), ('n_estimators', 983), ('reg_alpha', 100.0), ('reg_lambda', 33.61172472687717), ('subsample', 0.1)])",0.884854015,0.923600973,0.88402157,0.886881817,0.847999187,0.885471513,0.023926987,57
5.093118286,0.060975419,0.008401012,0.001854214,0.1,0.01,4,3050,100,84.00524925,0.657070317,"OrderedDict([('colsample_bytree', 0.1), ('learning_rate', 0.01), ('max_depth', 4), ('n_estimators', 3050), ('reg_alpha', 100.0), ('reg_lambda', 84.00524924563413), ('subsample', 0.6570703171724979)])",0.899736415,0.941058394,0.895595834,0.893863282,0.881586431,0.902368071,0.020267895,52
14.34457312,2.762990825,0.022199249,0.002638558,1,0.448864343,12,5000,1.00E-09,3.573193648,1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.4488643432887932), ('max_depth', 12), ('n_estimators', 5000), ('reg_alpha', 1e-09), ('reg_lambda', 3.573193647947029), ('subsample', 1.0)])",0.927128954,0.964436334,0.943533175,0.945440007,0.92019094,0.940145882,0.01547364,14
0.852586746,0.041691331,0.008400393,0.001624738,0.402185701,0.633111981,12,233,1.00E-09,1.00E-09,0.686658398,"OrderedDict([('colsample_bytree', 0.40218570085605165), ('learning_rate', 0.6331119807133468), ('max_depth', 12), ('n_estimators', 233), ('reg_alpha', 1e-09), ('reg_lambda', 1e-09), ('subsample', 0.6866583978777611)])",0.921248986,0.968673966,0.948166981,0.945624539,0.902254723,0.937193839,0.023054132,26
0.137197495,0.007626385,0.005200195,0.000399685,0.47694524,1,9,50,1.00E-09,1.00E-09,0.1,"OrderedDict([('colsample_bytree', 0.4769452395773033), ('learning_rate', 1.0), ('max_depth', 9), ('n_estimators', 50), ('reg_alpha', 1e-09), ('reg_lambda', 1e-09), ('subsample', 0.1)])",0.890561638,0.898246148,0.850077914,0.903387189,0.868525289,0.882159636,0.019975539,58
11.33842154,2.154918664,0.015799093,0.002482639,1,0.01,2,4463,1.00E-09,67.56305461,0.707088377,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.01), ('max_depth', 2), ('n_estimators', 4463), ('reg_alpha', 1e-09), ('reg_lambda', 67.56305461448271), ('subsample', 0.7070883767533761)])",0.932055961,0.975628548,0.93873534,0.94224145,0.906906358,0.939113531,0.022047153,17
8.772859669,0.196490167,0.021399164,0.013483992,0.388684481,0.047190583,4,5000,13.98377328,1.00E-09,0.335330367,"OrderedDict([('colsample_bytree', 0.38868448098631014), ('learning_rate', 0.04719058298449765), ('max_depth', 4), ('n_estimators', 5000), ('reg_alpha', 13.983773278969801), ('reg_lambda', 1e-09), ('subsample', 0.3353303666369155)])",0.914679643,0.96946472,0.926474207,0.933834987,0.901564087,0.929203529,0.022911766,34
21.3954617,1.548011631,0.043599892,0.001855427,0.46741194,0.01,12,5000,1.00E-09,1.00E-09,0.271855081,"OrderedDict([('colsample_bytree', 0.467411939960671), ('learning_rate', 0.01), ('max_depth', 12), ('n_estimators', 5000), ('reg_alpha', 1e-09), ('reg_lambda', 1e-09), ('subsample', 0.2718550805270602)])",0.92729116,0.969768856,0.93816124,0.947674895,0.912411131,0.939061457,0.019322142,18
7.264084959,0.212820835,0.010800791,0.003311553,0.1,0.927381862,2,5000,42.48475831,1.00E-09,0.1,"OrderedDict([('colsample_bytree', 0.1), ('learning_rate', 0.927381861972899), ('max_depth', 2), ('n_estimators', 5000), ('reg_alpha', 42.48475830559828), ('reg_lambda', 1e-09), ('subsample', 0.1)])",0.731427413,0.827037713,0.859191749,0.800305503,0.800985172,0.80378951,0.042109768,60
0.189396667,0.013334696,0.006200361,0.001166253,1,0.01,6,50,54.32626187,1.00E-09,0.422409163,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.01), ('max_depth', 6), ('n_estimators', 50), ('reg_alpha', 54.32626187408111), ('reg_lambda', 1e-09), ('subsample', 0.4224091631822626)])",0.899959448,0.934347121,0.891228574,0.913649225,0.87754418,0.90334571,0.019448705,50
0.183396864,0.00770983,0.005600166,0.000799871,1,0.01,6,50,54.71141162,12.14633813,1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.01), ('max_depth', 6), ('n_estimators', 50), ('reg_alpha', 54.71141162028514), ('reg_lambda', 12.146338130300801), ('subsample', 1.0)])",0.898600973,0.940906326,0.903725498,0.9235627,0.885374771,0.910434054,0.01956484,45
7.81327939,1.134711762,0.01079731,0.002918985,1,1,5,5000,64.23810864,64.23070763,0.1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 1.0), ('max_depth', 5), ('n_estimators', 5000), ('reg_alpha', 64.23810863647748), ('reg_lambda', 64.23070762585907), ('subsample', 0.1)])",0.899270073,0.934276156,0.893032888,0.912265234,0.876944952,0.903157861,0.019266754,51
